Campaign name,Country,Ad Set Name,Ad name,Amount spent (USD),Reach,Impressions,Link clicks,Result type,Cost per result,Results,"CPM (cost per 1,000 impressions)",CPC (cost per link click),CTR (all),Reporting starts,Reporting ends
TT 456 | DVY | Best Aud. | H-1 | BK-SDS | M4 | Lead | CBO | 14.05.25,TR,(+22 Yrs) UB | SA 83 | 3.9M | 10.03.25,BK-SDS-2,20.21,3507,3632,37.0,DVY_Egitimi_OptinTebriklerSayfasi,2.52625,8.0,5.56442731,0.54621622,1.5969163,2025-05-10,2025-05-22
FC 033 | DVY| Lead |Winner DA SA48 | CBO | 5 Mayis |,TR,"(+22 Yrs) Winner DA SA48 - 2,00 $",OTPKİ-OLT-BK-1,19.8,7896,8140,45.0,DVY_Egitimi_OptinTebriklerSayfasi,1.32,15.0,2.43243243,0.44,0.98280098,2025-05-10,2025-05-22
TT 488 | DVY | BROAD | SJ-AI-DVY-MK-V2 | M4 | Lead | CBO | 20.05.25,TR,TT SA 72 | BROAD 1,SJ-AI-DVY-MK-2,19.61,4282,4403,35.0,DVY_Egitimi_OptinTebriklerSayfasi,2.80142857,7.0,4.45378151,0.56028571,1.40813082,2025-05-10,2025-05-22
FC 023 | DVY | 30 Nisan | CBO | Lead |,TR,Pazarlama,BD-DYV-MK-4 | Bos isler| - Kopya,19.59,6770,6803,47.0,DVY_Egitimi_OptinTebriklerSayfasi,9.795,2.0,2.87961194,0.41680851,1.33764516,2025-05-10,2025-05-22
TT 469 | DVY | AZ-2 | 14D Best Ads. 2 | M4 | Lead | CBO | 16.05.25,AZ,TT SA 66 | AZ Yazarlar | 700K | 15.05.25,OTPKİ-OLT-BK-3,19.15,6742,7120,47.0,DVY_Egitimi_OptinTebriklerSayfasi,1.59583333,12.0,2.68960674,0.40744681,1.15168539,2025-05-10,2025-05-22
TT 458 | DVY | Best Aud. | C-1/AZ Include | BK-SDS | M4 | Lead | CBO | 14.05.25,TR,TT SA 06 | Eticaret-Bireysel/Küçük İşletme | 7.5M,BK-SDS-3,18.43,3067,3067,36.0,DVY_Egitimi_OptinTebriklerSayfasi,3.686,5.0,6.00912944,0.51194444,1.56504728,2025-05-10,2025-05-22
TT 486 | DVY | Best Aud. | C-1 | SJ-AI-DVY-AK | M4 | Lead | CBO | 20.05.25,TR,(+22 Yrs) UB | SA 79 | 1.3M | 10.01.25,SJ-AI-DVY-AK-3,18.29,3337,3600,33.0,DVY_Egitimi_OptinTebriklerSayfasi,9.145,2.0,5.08055556,0.55424242,1.38888889,2025-05-10,2025-05-22
TT 458 | DVY | Best Aud. | C-1/AZ Include | BK-SDS | M4 | Lead | CBO | 14.05.25,TR,(+22 Yrs) UB | SA 79 | 1.3M | 10.01.25,BK-SDS-3,18.21,3676,3904,28.0,DVY_Egitimi_OptinTebriklerSayfasi,4.5525,4.0,4.66444672,0.65035714,1.43442623,2025-05-10,2025-05-22
TT 317 | DVY | New Aud. 2-1 | OTPKİ-OLT-BK | M2 | Lead | CBO | 13.04.25,TR,TT SA 51 | TT 16+Freelancer | 1.2M | 13.03.25,OTPKİ-OLT-BK-1,17.57,13120,13120,69.0,DVY_Egitimi_OptinTebriklerSayfasi,2.92833333,6.0,1.33917683,0.25463768,0.88414634,2025-05-10,2025-05-22
FC 035 | DVY | 13 Mayis |  OTPKİ-OLT-BK |,TR,(+22 Yrs) FC SA 60,OTPKİ-OLT-BK-1 | Amator | Ortakli |,17.32,9526,9526,38.0,DVY_Egitimi_OptinTebriklerSayfasi,4.33,4.0,1.81818182,0.45578947,0.66134789,2025-05-10,2025-05-22
TT 454 | DVY | Best Aud. | D-1 | OTPKİ | M2 | Lead | CBO | 13.05.25,TR,(+22 Yrs) UB | SA 75,OTPKİ-OLT-BK-4,17.12,6072,6179,36.0,DVY_Egitimi_OptinTebriklerSayfasi,2.85333333,6.0,2.77067487,0.47555556,0.95484706,2025-05-10,2025-05-22
FC 029 | DVY| Lead | CBO | Pazarlama | 4 Mayis |,TR,"Pazarlama 2 Mayis 2025 - 1,70 $",OTPKİ-OLT-BK-1,16.95,9566,9871,37.0,DVY_Egitimi_OptinTebriklerSayfasi,2.11875,8.0,1.71715125,0.45810811,0.60784115,2025-05-10,2025-05-22
