Universal_Campaign_ID,Country,Amount spent (USD),Reach,Impressions,Link clicks,Result type,Cost per result,Results,"CPM (cost per 1,000 impressions)",CPC (cost per link click),CTR (all),Reporting starts,Reporting ends
#Global | UB DVY 30 | Sales | ABO | Mix | 25.05.2025,IQ,4.17004537,3712,5304,25.0,DVY_Egitimi_OptinTebriklerSayfasi,0.83400907,5.0,0.78620765,0.16680181,0.82956259,2025-05-23,2025-05-29
GLOBAL | TT 493 | ÖS | DVY | Best Aud. | B-1 | 14D Best Ads. | M4 | Lead | CBO | 21.05.25,BE,4.08,388,441,4.0,DVY_Egitimi_OptinTebriklerSayfasi,2.04,2.0,9.25170068,1.02,1.13378685,2025-05-23,2025-05-29
TT ASC 2 | DVY | EU | 14D Best Ads. | M2 | CBO | Sales | 24.05.25 Campaign,PL,4.01,382,393,1.0,,,,10.20356234,4.01,1.27226463,2025-05-23,2025-05-29
TT 504 | DVY | TT SA 73-2 | BROAD-GLOBAL 18-65 | MM-DVY-MK | M4 | Lead | CBO | 27.05.25,PL,4.00281081,523,603,8.0,,,,6.63816055,0.50035135,2.48756219,2025-05-23,2025-05-29
TT 497 | DVY | Best Aud. | B-1 | MM-DVY-MK | M4 | Lead | CBO | 24.05.25,IQ,3.95,2624,3055,10.0,DVY_Egitimi_OptinTebriklerSayfasi,1.31666667,3.0,1.29296236,0.395,0.91653028,2025-05-23,2025-05-29
TT 361 | DVY | OTPKİ-OLT-BK | M2 | Lead | ABO | CosCap-Mix | 21.04.25,GR,3.91029565,1792,2040,14.0,,,,1.91681159,0.27930683,1.07843137,2025-05-23,2025-05-29
GLOBAL | TT 493 | ÖS | DVY | Best Aud. | B-1 | 14D Best Ads. | M4 | Lead | CBO | 21.05.25,AT,3.83,324,328,9.0,DVY_Egitimi_OptinTebriklerSayfasi,1.27666667,3.0,11.67682927,0.42555556,3.96341463,2025-05-23,2025-05-29
TT 513 | DVY | Best Aud. | A-1 | EMDD-OE  | M4 | Lead | CBO | 29.05.25,TM,3.77978216,2063,2213,23.0,DVY_Egitimi_OptinTebriklerSayfasi,1.88989108,2.0,1.70799013,0.16433835,1.17487573,2025-05-23,2025-05-29
TT 361 | DVY | OTPKİ-OLT-BK | M2 | Lead | ABO | CosCap-Mix | 21.04.25,BE,3.77028506,733,733,6.0,DVY_Egitimi_OptinTebriklerSayfasi,1.25676169,3.0,5.14363583,0.62838084,1.22783083,2025-05-23,2025-05-29
TT 313 | DVY | Best Aud. | B-1 | A Green-5 | M2 | Lead | CBO | 13.04.25,AF,3.76,3408,5257,42.0,DVY_Egitimi_OptinTebriklerSayfasi,3.76,1.0,0.71523683,0.08952381,1.19840213,2025-05-23,2025-05-29
TT 508 | DVY | Best Aud. | B-1 | SJ-OD-MK | M4 | Lead | CBO | 28.05.25,UZ,3.76,1558,1754,7.0,DVY_Egitimi_OptinTebriklerSayfasi,3.76,1.0,2.14367161,0.53714286,0.62713797,2025-05-23,2025-05-29
TT 501 | DVY | Best Aud. | D-1 | MM-DVY-MK | M4 | Lead | CBO | 25.05.25,KG,3.64,864,1328,9.0,DVY_Egitimi_OptinTebriklerSayfasi,0.728,5.0,2.74096386,0.40444444,1.28012048,2025-05-23,2025-05-29
TT 503 | DVY | GLOBAL-ABO | Sales | 26.05.25,ZA,3.62,680,1053,8.0,DVY_Egitimi_OptinTebriklerSayfasi,3.62,1.0,3.43779677,0.4525,1.13960114,2025-05-23,2025-05-29
TT 361 | DVY | OTPKİ-OLT-BK | M2 | Lead | ABO | CosCap-Mix | 21.04.25,ME,3.58027069,1024,1699,8.0,,,,2.10728116,0.44753384,0.94173043,2025-05-23,2025-05-29
TT 361 | DVY | OTPKİ-OLT-BK | M2 | Lead | ABO | CosCap-Mix | 21.04.25,PT,3.53026691,1766,1766,6.0,,,,1.99901864,0.58837782,0.45300113,2025-05-23,2025-05-29
#Global | UB DVY 30 | Sales | ABO | Mix | 25.05.2025,NO,3.51003819,288,320,1.0,,,,10.96886934,3.51003819,1.875,2025-05-23,2025-05-29
#Global | UB DVY 30 | Sales | ABO | Mix | 25.05.2025,FI,3.44003743,128,263,4.0,,,,13.07999022,0.86000936,2.66159696,2025-05-23,2025-05-29
TT 503 | DVY | GLOBAL-ABO | Sales | 26.05.25,CH,3.39,168,202,3.0,,,,16.78217822,1.13,2.97029703,2025-05-23,2025-05-29
TT 313 | DVY | Best Aud. | B-1 | A Green-5 | M2 | Lead | CBO | 13.04.25,KG,3.33,1152,1460,5.0,DVY_Egitimi_OptinTebriklerSayfasi,3.33,1.0,2.28082192,0.666,0.47945205,2025-05-23,2025-05-29
TT 503 | DVY | GLOBAL-ABO | Sales | 26.05.25,ID,3.27,736,1072,11.0,,,,3.05037313,0.29727273,1.77238806,2025-05-23,2025-05-29
TT 495 | DVY | Best Aud. | B-1 | DVY_LU_FK | M4 | Lead | CBO | 23.05.25,TM,3.23,1290,1367,10.0,DVY_Egitimi_OptinTebriklerSayfasi,3.23,1.0,2.36283833,0.323,1.09729334,2025-05-23,2025-05-29
