Campaign name,Country,Ad Set Name,Ad name,Amount spent (USD),Reach,Impressions,Link clicks,Result type,Cost per result,Results,"CPM (cost per 1,000 impressions)",CPC (cost per link click),CTR (all),Reporting starts,Reporting ends
TT 29 | DVY | H-1 | LVEY-DVY-MK-SNS | M4 | Lead | CBO | 12.05.25,TR,UB | SA 27 | Evden Çalışma | 3.5M,LVEY-DVY-MK-3,3.23,542,558,1.0,,,,5.78853047,3.23,0.53763441,2025-05-10,2025-05-22
005 FC | DVY | 9 Mayis | BK - ELM,TR,(+22 Yrs) UB | SA 49,BK-EMY-2 - Kopya,3.13,719,752,7.0,,,,4.16223404,0.44714286,1.19680851,2025-05-10,2025-05-22
TT 09 | DVY | B-1 | BK-EMY | M4 | Lead | CBO | 09.05.25,TR,(+22) | UB | SA 63,BK-EMY-2,3.13,559,565,4.0,,,,5.53982301,0.7825,1.23893805,2025-05-10,2025-05-22
TT 15 | DVY | TT SA 49 | DVY_BSSG_FK | M4 | Sales | ABO | 10.05.25,TR,2.1 | TT SA 49 | Winner 48/21-50 | 2.3M | 13.03.25,DVY_BSSG_FK_2_1,3.12,558,568,5.0,BV_YP_DVY_Seminer_ThankYouPage,3.12,1.0,5.49295775,0.624,1.4084507,2025-05-10,2025-05-22
TT 34 | DVY | TT SA 47-Global | FK&BK | M4 | Sales | CBO-BID | 22.05.25,FR,TT SA 47 | UB 76&Yazarlar | 850K | 13.03.25,BK-OBD-2,3.08662854,236,242,4.0,,,,12.7546634,0.77165714,2.0661157,2025-05-10,2025-05-22
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,CY,TT SA 47 | UB 76&Yazarlar | 850K | 13.03.25,DVY_BSSG_FK_2_1,3.07,996,1173,9.0,BV_YP_DVY_Seminer_ThankYouPage,3.07,1.0,2.6172208,0.34111111,1.19352089,2025-05-10,2025-05-22
AZ/Turkic | TT 31 | DVY | B-1 | 14D Best Ads. | M4 | Lead | CBO | 13.05.25,KZ,(+22) | UB | SA 63,OTPKİ-OLT-BK-1,3.07,458,471,2.0,,,,6.51804671,1.535,0.42462845,2025-05-10,2025-05-22
005 FC | DVY | 9 Mayis | BK - ELM,NL,(+22 Yrs) FC SA 60,BK-EMY-3 - Kopya,3.03446759,288,338,5.0,BV_YP_DVY_Seminer_ThankYouPage,3.03446759,1.0,8.97771477,0.60689352,2.66272189,2025-05-10,2025-05-22
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,CY,TT SA 47 | UB 76&Yazarlar | 850K | 13.03.25,BK-OBD-2,3.03,1324,1449,15.0,BV_YP_DVY_Seminer_ThankYouPage,3.03,1.0,2.09109731,0.202,1.31124914,2025-05-10,2025-05-22
TT 32 | DVY | BROAD TEST | 14D Ads. | M4 | Lead | CBO | 16.05.25,TR,TT SA 71 | BROAD - 1,SJ-AI-DVY-MK-3,2.99,606,632,2.0,BV_YP_DVY_Seminer_ThankYouPage,2.99,1.0,4.73101266,1.495,1.26582278,2025-05-10,2025-05-22
TT 20 | DVY | C-1 | LVEY-DVY-MK | M4 | Lead | CBO | 11.05.25,TR,TT SA 06 | Eticaret-Bireysel/Küçük İşletme | 7.5M,LVEY-DVY-MK-1,2.94,370,378,3.0,,,,7.77777778,0.98,0.79365079,2025-05-10,2025-05-22
TT 19 | DVY | B-1 | LVEY-DVY-MK | M4 | Lead | CBO | 11.05.25,TR,(+22) FC OTU SA 7,LVEY-DVY-MK-3,2.94,634,646,2.0,,,,4.55108359,1.47,0.46439628,2025-05-10,2025-05-22
TT 30 | Test-005 FC/aud mixed | DVY | OTPKI-OLT-BK | Lead | 12.05.25,TR,TT SA 49 | Winner 48/21-50 | 2.3M | 13.03.25,OTPKİ-OLT-BK-3,2.88,466,524,7.0,BV_YP_DVY_Seminer_ThankYouPage,2.88,1.0,5.49618321,0.41142857,1.33587786,2025-05-10,2025-05-22
TT 34 | DVY | TT SA 47-Global | FK&BK | M4 | Sales | CBO-BID | 22.05.25,BG,TT SA 47 | UB 76&Yazarlar | 850K | 13.03.25,BK-OBD-2,2.87480109,394,406,3.0,BV_YP_DVY_Seminer_ThankYouPage,1.43740055,2.0,7.08079087,0.95826703,1.47783251,2025-05-10,2025-05-22
TT 18 | DVY | D-1 | LVEY-DVY-MK | M4 | Lead | CBO | 11.05.25,TR,(+22 Yrs) UB | SA 80 | 4M | 10.01.25,LVEY-DVY-MK-2,2.86,432,466,,,,,6.13733906,,1.28755365,2025-05-10,2025-05-22
TT 30 | Test-005 FC/aud mixed | DVY | OTPKI-OLT-BK | Lead | 12.05.25,TR,(+22 Yrs) FC SA 60,OTPKİ-OLT-BK-1,2.83,287,298,1.0,BV_YP_DVY_Seminer_ThankYouPage,2.83,1.0,9.4966443,2.83,2.01342282,2025-05-10,2025-05-22
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,TM,TT SA 47 | UB 76&Yazarlar | 850K | 13.03.25,DVY_BSSG_FK_2_1,2.83,760,876,4.0,BV_YP_DVY_Seminer_ThankYouPage,1.415,2.0,3.23059361,0.7075,1.25570776,2025-05-10,2025-05-22
