Campaign name,Country,Amount spent (USD),Reach,Impressions,Link clicks,Result type,Cost per result,Results,"CPM (cost per 1,000 impressions)",CPC (cost per link click),CTR (all),Reporting starts,Reporting ends
TT 36 | DVY | AVRUPA-Hedeflemesiz | OLT-BK | M4 | Lead | CBO | 24.05.25,CH,0.58,18,18,,,,,32.22222222,,0.0,2025-05-23,2025-05-29
TT 37 | DVY | USA/AUD-Hedeflemesiz | OLT-BK | M4 | Lead | CBO | 24.05.25,NZ,0.58,10,15,,,,,38.66666667,,0.0,2025-05-23,2025-05-29
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,ET,0.57,104,122,10.0,,,,4.67213115,0.057,7.37704918,2025-05-23,2025-05-29
TT 36 | DVY | AVRUPA-Hedeflemesiz | OLT-BK | M4 | Lead | CBO | 24.05.25,PT,0.57,9,12,,,,,47.5,,0.0,2025-05-23,2025-05-29
TT 36 | DVY | AVRUPA-Hedeflemesiz | OLT-BK | M4 | Lead | CBO | 24.05.25,IT,0.49,35,38,,,,,12.89473684,,0.0,2025-05-23,2025-05-29
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,AE,0.48,64,103,,BV_YP_DVY_Seminer_ThankYouPage,0.48,1.0,4.66019417,,1.94174757,2025-05-23,2025-05-29
TT 36 | DVY | AVRUPA-Hedeflemesiz | OLT-BK | M4 | Lead | CBO | 24.05.25,SE,0.48,20,20,,,,,24.0,,5.0,2025-05-23,2025-05-29
TT 35 | DVY | GLOBAL-Hedeflemesiz | OLT-BK | M4 | Lead | CBO | 24.05.25,RO,0.48,42,45,,,,,10.66666667,,4.44444444,2025-05-23,2025-05-29
TT 38 | DVY | GLOBAL-Genel Hedeflemeler | OLT-BK | M4 | Lead | CBO | 25.05.25,PT,0.48,44,56,,,,,8.57142857,,0.0,2025-05-23,2025-05-29
TT 35 | DVY | GLOBAL-Hedeflemesiz | OLT-BK | M4 | Lead | CBO | 24.05.25,XK,0.46,95,101,,,,,4.55445545,,0.0,2025-05-23,2025-05-29
TT 36 | DVY | AVRUPA-Hedeflemesiz | OLT-BK | M4 | Lead | CBO | 24.05.25,XK,0.44,98,109,,,,,4.03669725,,0.91743119,2025-05-23,2025-05-29
TT 03 | DVY | TT SA 47 | OTPKİ-OLT-BK | M4 | Sales | CBO | CosCap-Mix | 08.05.25,DE,0.42,159,159,4.0,,,,2.64150943,0.105,3.14465409,2025-05-23,2025-05-29
TT 36 | DVY | AVRUPA-Hedeflemesiz | OLT-BK | M4 | Lead | CBO | 24.05.25,GR,0.39,54,54,,,,,7.22222222,,0.0,2025-05-23,2025-05-29
TT 35 | DVY | GLOBAL-Hedeflemesiz | OLT-BK | M4 | Lead | CBO | 24.05.25,PL,0.38,50,53,1.0,BV_YP_DVY_Seminer_ThankYouPage,0.38,1.0,7.16981132,0.38,5.66037736,2025-05-23,2025-05-29
TT 38 | DVY | GLOBAL-Genel Hedeflemeler | OLT-BK | M4 | Lead | CBO | 25.05.25,SK,0.38,48,66,,,,,5.75757576,,1.51515152,2025-05-23,2025-05-29
TT 38 | DVY | GLOBAL-Genel Hedeflemeler | OLT-BK | M4 | Lead | CBO | 25.05.25,LT,0.38,32,47,,,,,8.08510638,,0.0,2025-05-23,2025-05-29
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,EG,0.38,144,166,1.0,,,,2.28915663,0.38,1.20481928,2025-05-23,2025-05-29
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,SN,0.37,63,63,5.0,,,,5.87301587,0.074,6.34920635,2025-05-23,2025-05-29
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,SA,0.37,138,138,1.0,,,,2.68115942,0.37,1.44927536,2025-05-23,2025-05-29
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,MA,0.36,88,114,2.0,,,,3.15789474,0.18,1.75438596,2025-05-23,2025-05-29
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,LY,0.35,240,283,2.0,,,,1.23674912,0.175,1.06007067,2025-05-23,2025-05-29
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,SO,0.35,120,218,4.0,,,,1.60550459,0.0875,2.29357798,2025-05-23,2025-05-29
TT 35 | DVY | GLOBAL-Hedeflemesiz | OLT-BK | M4 | Lead | CBO | 24.05.25,GR,0.32,59,70,,,,,4.57142857,,0.0,2025-05-23,2025-05-29
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,RO,0.32,16,34,,,,,9.41176471,,0.0,2025-05-23,2025-05-29
TT 35 | DVY | GLOBAL-Hedeflemesiz | OLT-BK | M4 | Lead | CBO | 24.05.25,CH,0.32,18,18,,,,,17.77777778,,0.0,2025-05-23,2025-05-29
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,NL,0.31,66,66,1.0,,,,4.6969697,0.31,1.51515152,2025-05-23,2025-05-29
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,IL,0.31,9,9,,,,,34.44444444,,0.0,2025-05-23,2025-05-29
TT 38 | DVY | GLOBAL-Genel Hedeflemeler | OLT-BK | M4 | Lead | CBO | 25.05.25,LU,0.3,19,19,,,,,15.78947368,,0.0,2025-05-23,2025-05-29
TT 35 | DVY | GLOBAL-Hedeflemesiz | OLT-BK | M4 | Lead | CBO | 24.05.25,IT,0.3,29,32,,,,,9.375,,3.125,2025-05-23,2025-05-29
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,MK,0.29,40,85,,,,,3.41176471,,0.0,2025-05-23,2025-05-29
TT 06 | DVY | C-1 | 14D Best Ads.-P1 | M4 | Lead | CBO | 08.05.25,DE,0.28,128,135,3.0,,,,2.07407407,0.09333333,3.7037037,2025-05-23,2025-05-29
TT 36 | DVY | AVRUPA-Hedeflemesiz | OLT-BK | M4 | Lead | CBO | 24.05.25,CZ,0.27,15,17,,,,,15.88235294,,0.0,2025-05-23,2025-05-29
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,MN,0.27,88,148,1.0,,,,1.82432432,0.27,1.35135135,2025-05-23,2025-05-29
TT 03 | DVY | TT SA 47 | OTPKİ-OLT-BK | M4 | Sales | CBO | CosCap-Mix | 08.05.25,CN,0.26,80,84,,,,,3.0952381,,0.0,2025-05-23,2025-05-29
TT 03 | DVY | TT SA 47 | OTPKİ-OLT-BK | M4 | Sales | CBO | CosCap-Mix | 08.05.25,AE,0.25,40,50,,,,,5.0,,2.0,2025-05-23,2025-05-29
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,ID,0.25,24,34,1.0,,,,7.35294118,0.25,5.88235294,2025-05-23,2025-05-29
TT 36 | DVY | AVRUPA-Hedeflemesiz | OLT-BK | M4 | Lead | CBO | 24.05.25,ME,0.24,45,47,1.0,,,,5.10638298,0.24,2.12765957,2025-05-23,2025-05-29
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,ZA,0.23,24,30,,,,,7.66666667,,0.0,2025-05-23,2025-05-29
